Family_ID	Subject_ID	Father_ID	Mother_ID	Sex	TWIN_ID
CH18632	CH18632	0	0	1	
CH18582	CH18582	0	0	2	
CH18633	CH18633	0	0	1	
CH18635	CH18635	0	0	1	
CH18592	CH18592	0	0	2	
CH18636	CH18636	0	0	1	
CH18593	CH18593	0	0	2	
CH18637	CH18637	0	0	1	
JA18942	JA18942	0	0	2	
JA18940	JA18940	0	0	1	
JA18951	JA18951	0	0	2	
JA18943	JA18943	0	0	1	
JA18947	JA18947	0	0	2	
JA18944	JA18944	0	0	1	
JA18945	JA18945	0	0	1	
JA18949	JA18949	0	0	2	
JA18948	JA18948	0	0	1	
JA18952	JA18952	0	0	1	
JA18956	JA18956	0	0	2	
JA18964	JA18964	0	0	2	
JA18953	JA18953	0	0	1	
JA18968	JA18968	0	0	2	
JA18959	JA18959	0	0	1	
JA18969	JA18969	0	0	2	
JA18960	JA18960	0	0	1	
JA18961	JA18961	0	0	1	
JA18972	JA18972	0	0	2	
JA18965	JA18965	0	0	1	
JA18973	JA18973	0	0	2	
JA18966	JA18966	0	0	1	
JA18975	JA18975	0	0	2	
JA18967	JA18967	0	0	1	
JA18976	JA18976	0	0	2	
JA18978	JA18978	0	0	2	
JA18970	JA18970	0	0	1	
JA18980	JA18980	0	0	2	
JA18995	JA18995	0	0	1	
JA18981	JA18981	0	0	2	
JA18971	JA18971	0	0	1	
JA18974	JA18974	0	0	1	
JA18987	JA18987	0	0	2	
JA18990	JA18990	0	0	1	
JA18991	JA18991	0	0	2	
JA18994	JA18994	0	0	1	
JA18992	JA18992	0	0	2	
JA18997	JA18997	0	0	2	
JA18998	JA18998	0	0	2	
JA19000	JA19000	0	0	1	
JA19005	JA19005	0	0	1	
JA18999	JA18999	0	0	2	
JA19007	JA19007	0	0	1	
JA19003	JA19003	0	0	2	
JA19012	JA19012	0	0	1	
4	YOR004.01	YOR004.03	YOR004.02	1	
4	YOR004.02	0	0	2	
4	YOR004.03	0	0	1	
5	YOR005.01	YOR005.03	YOR005.02	1	
5	YOR005.02	0	0	2	
5	YOR005.03	0	0	1	
9	YOR009.01	YOR009.03	YOR009.02	1	
9	YOR009.02	0	0	2	
9	YOR009.03	0	0	1	
12	YOR012.01	YOR012.03	YOR012.02	1	
12	YOR012.02	0	0	2	
12	YOR012.03	0	0	1	
13	YOR013.01	YOR013.03	YOR013.02	1	
13	YOR013.02	0	0	2	
13	YOR013.03	0	0	1	
16	YOR016.01	YOR016.03	YOR016.02	1	
16	YOR016.02	0	0	2	
16	YOR016.03	0	0	1	
17	YOR017.01	YOR017.03	YOR017.02	1	
17	YOR017.02	0	0	2	
17	YOR017.03	0	0	1	
18	YOR018.01	YOR018.03	YOR018.02	1	
18	YOR018.02	0	0	2	
18	YOR018.03	0	0	1	
23	YOR023.01	YOR023.03	YOR023.02	1	
23	YOR023.02	0	0	2	
23	YOR023.03	0	0	1	
24	YOR024.01	YOR024.03	YOR024.02	1	
24	YOR024.02	0	0	2	
24	YOR024.03	0	0	1	
28	YOR028.01	YOR028.03	YOR028.02	2	
28	YOR028.02	0	0	2	
28	YOR028.03	0	0	1	
40	YOR040.01	YOR040.03	YOR040.02	2	
40	YOR040.02	0	0	2	
40	YOR040.03	0	0	1	
42	YOR042.01	YOR042.03	YOR042.02	1	
42	YOR042.02	0	0	2	
42	YOR042.03	0	0	1	
43	YOR043.01	YOR043.03	YOR043.02	1	
43	YOR043.02	0	0	2	
43	YOR043.03	0	0	1	
45	YOR045.01	YOR045.03	YOR045.02	2	
45	YOR045.02	0	0	2	
45	YOR045.03	0	0	1	
47	YOR047.01	YOR047.03	YOR047.02	1	
47	YOR047.02	0	0	2	
47	YOR047.03	0	0	1	
48	YOR048.01	YOR048.03	YOR048.02	1	
48	YOR048.02	0	0	2	
48	YOR048.03	0	0	1	
50	YOR050.01	YOR050.03	YOR050.02	1	
50	YOR050.02	0	0	2	
50	YOR050.03	0	0	1	
51	YOR051.01	YOR051.03	YOR051.02	1	
51	YOR051.02	0	0	2	
51	YOR051.03	0	0	1	
56	YOR056.01	YOR056.03	YOR056.02	1	
56	YOR056.02	0	0	2	
56	YOR056.03	0	0	1	
58	YOR058.01	YOR058.03	YOR058.02	2	
58	YOR058.02	0	0	2	
58	YOR058.03	0	0	1	
60	YOR060.01	YOR060.03	YOR060.02	1	
60	YOR060.02	0	0	2	
60	YOR060.03	0	0	1	
71	YOR071.01	YOR071.03	YOR071.02	1	
71	YOR071.02	0	0	2	
71	YOR071.03	0	0	1	
72	YOR072.01	YOR072.03	YOR072.02	1	
72	YOR072.02	0	0	2	
72	YOR072.03	0	0	1	
74	YOR074.01	YOR074.03	YOR074.02	1	
74	YOR074.02	0	0	2	
74	YOR074.03	0	0	1	
77	YOR077.01	YOR077.03	YOR077.02	2	
77	YOR077.02	0	0	2	
77	YOR077.03	0	0	1	
101	YOR101.01	YOR101.03	YOR101.02	2	
101	YOR101.02	0	0	2	
101	YOR101.03	0	0	1	
105	YOR105.01	YOR105.03	YOR105.02	2	
105	YOR105.02	0	0	2	
105	YOR105.03	0	0	1	
112	YOR112.01	YOR112.03	YOR112.02	1	
112	YOR112.02	0	0	2	
112	YOR112.03	0	0	1	
117	YOR117.01	YOR117.03	YOR117.02	2	
117	YOR117.02	FAKE_DAD1	FAKE_MOM1	2	FAKE_TWIN1
117	YOR117.03	0	0	1	
28_FAKE	YOR028.01	FAKE_DAD1	FAKE_MOM1	2	FAKE_TWIN1
13_FAKE	CEPH1408.13_FAKE	FAKE_DAD2	FAKE_MOM_2	0	
13_FAKE	CEPH1408.13	FAKE_DAD2	FAKE_MOM_2	0	
